Molecules,SMILES,Adsorption energy,1 C,2C,3C,4C,5C,6C,7C,8C,9C,N,Ring O1,O2,O3,O4,Polarizability,Dipole moment,TPSA,entropy,EA,volume,natom,IP,McGowan_Volume,Kier1,Kier2,Kier3
mol1,NC(CC1=CC(O)=C(O)C=C1)C(O)=O,16.51,0.305608,-0.11786,0.148033,-0.072064,-0.031668,0.322461,-0.032596,0.128665,0.573469,-0.089917,-0.227299,-0.263879,-0.483423,-0.15953,109.38,2.85,103.78,117.612,0.0018,172,14,0.2032,1.4307,12.07142857,5.185595568,3.591836735
mol2,CC(N)(CC1=CC(O)=C(O)C=C1)C(O)=O,23.1,0.3058,-0.129,0.1554,-0.0723,-0.0322,0.323,-0.0334,0.1072,0.589,-0.0969,-0.2265,-0.2637,-0.4951,-0.1563,119.76,2.51,103.78,122.97,0.0037,188.24,15,0.2047,1.5873,14.0625,6.074380165,3.495198903
mol3,NC(C(O)C1=CC(O)=C(O)C=C1)C(O)=O,24.01,0.303661,-0.136555,0.142953,-0.03694,-0.032908,0.32592,0.210352,0.092398,0.575574,-0.09535,-0.226359,-0.265295,-0.482941,-0.144912,113,3.71,124.01,121.364,0.00828,180.04,15,0.204,1.7282,15.05882353,6.25,3.728894174
mol4,CC(=O)C1=C(CC(N)C(O)=O)C=CC(O)=C1O,26.64,0.204893,0.02978,0.115448,-0.045047,-0.013729,0.336962,0.00364,0.106292,0.58352,-0.103355,-0.224191,-0.257943,-0.469505,-0.155218,136.11,3.93,120.85,132.51,0.0642,207.54,17,0.218,1.5893,14.0625,6.074380165,3.769230769
mol5,NC(CC1=C(C(O)=C(O)C=C1)C(F)(F)F)C(O)=O,23.82,0.239105,-0.101197,0.108558,-0.041011,-0.013562,0.338928,-0.026295,0.121612,0.587162,-0.111446,-0.218014,-0.259486,-0.467465,-0.151781,121.99,1.78,103.78,132,0.0269,203.3,18,0.2179,1.7263,15.05882353,6.805293006,4.301783265
mol6,NC(CC1=C(CO)C(O)=C(O)C=C1)C(O)=O,23.96,0.242408,0.063351,0.103622,-0.06606,-0.033833,0.332486,-0.057999,0.111091,0.59493,-0.112234,-0.229075,-0.270062,-0.466453,-0.145279,124.3,4.31,124.01,128.32,0.0072,196.82,16,0.2016,1.6057,13.06666667,5.365079365,3.5
mol7,NC(CC1=C(CCl)C(O)=C(O)C=C1)C(O)=O,19.08,0.229506,0.110024,0.122333,-0.065385,-0.018155,0.337591,-0.046119,0.118467,0.57063,-0.082864,-0.223238,-0.259373,-0.483419,-0.138505,131.7,0.65,103.78,126.44,0.038,202.34,16,0.2157,1.4484,13.06666667,5.365079365,3.2256
mol8,NC(CC1=C(S)C(O)=C(O)C=C1)C(O)=O,17.55,0.19809,0.099714,0.067072,-0.058155,-0.030599,0.340197,-0.052082,0.105034,0.583418,-0.111609,-0.230893,-0.270361,-0.465551,-0.142824,151.82,3.32,103.78,140.47,0.001,238.19,18,0.2046,1.7351,14.0625,6.074380165,3.495198903
mol9,NC(CC1=C(CF)C(O)=C(O)C=C1)C(O)=O,19.16,0.308984,-0.229075,0.146668,-0.058833,-0.026865,0.329553,-0.005299,0.119016,0.571321,-0.089446,-0.223428,-0.252144,-0.466902,-0.162522,127.04,1.29,103.78,126.92,0.0137,189.66,15,0.2091,1.5854,14.0625,6.074380165,3.495198903
mol10,NC(CC1=C(CC#N)C(O)=C(O)C=C1)C(O)=O,24.3,0.236926,0.013141,0.111877,-0.072291,-0.025317,0.331671,-0.043164,0.123539,0.573843,-0.085458,-0.225298,-0.270222,-0.482512,-0.145552,120.68,1.97,103.78,127.47,0.0112,193.73,16,0.2074,1.6049,15.05882353,6.25,3.728894174
