Molecules,SMILES,Ads.E,SELFIES,GroupSELFIES
mol1,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1),16.51,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol]
mol2,C(C)(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1),23.1,[C][Branch1][C][C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][:0methyl][pop][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol]
mol3,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C=C1),24.01,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol]
mol4,C(N)(C(O)=O)C(C1=C(C(=O)C)C(O)=C(O)C=C1),26.64,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0acetyl ][pop]
mol5,C(N)(C(O)=O)C(C1=C(C(F)(F)(F))C(O)=C(O)C=C1),23.82,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0trifluoromethyl][pop]
mol6,C(N)(C(O)=O)C(C1=C(C(O))C(O)=C(O)C=C1),23.96,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring1][C][O][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0hydroxymethyl][pop]
mol7,C(N)(C(O)=O)C(C1=C(C(Cl))C(O)=C(O)C=C1),19.08,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring1][C][Cl][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0chloromethyl][pop]
mol8,C(N)(C(O)=O)C(C1=C(S)C(O)=C(O)C=C1),17.55,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][C][S][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0thiol][pop]
mol9,C(N)(C(O)=O)C(C1=C(C(F))C(O)=C(O)C=C1),19.16,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring1][C][F][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0fluoromethyl][pop]
mol10,C(N)(C(O)=O)C(C1=C(C(C#N))C(O)=C(O)C=C1),24.3,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring2][C][C][#N][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0cyanomethyl][pop]
mol11,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(Cl)=C1),23.28,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][Cl][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0chloro ][pop]
mol12,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C(=O)OC(C2=CC=CC=C2))=C1),16.55,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][#C][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0ester][Ring1][:0benzyl][pop][pop]
mol13,C(N)(C(=O)OC)C(C1=CC(O)=C(O)C=C1),17.12,[C][Branch1][C][N][Branch1][#Branch1][C][=Branch1][C][=O][O][C][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][:0amino][pop][Branch][:0ester][Ring1][:0methyl][pop][pop][C][:2Catechol]
mol14,C(NCC)(C(O)=O)C(C1=CC(O)=C(O)C=C1),23.84,[C][Branch1][Ring2][N][C][C][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][N][:0ethyl][pop][Branch][:0carboxyl][pop][C][:2Catechol]
mol15,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(F)=C1),17.98,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][F][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0fluoro][pop]
mol16,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C#N)=C1),19.27,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][#N][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0cyano][pop]
mol17,C(N)(C(O)=O)C(C1=CC(O)=C(O)C([N+]([O-])=O)=C1),26.13,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0nitro][pop]
mol18,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C=O)=C1),24.92,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][=O][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0aldehyde][pop]
